Date,ENGI FP Equity,CS FP Equity
2024-04-29,16.295,34.25
2024-04-26,16.10,33.85
2024-04-25,16.08,33.80
2024-04-24,16.085,34.25
2024-04-23,16.015,34.92
2024-04-22,15.975,34.33
2024-04-19,15.93,33.90
2024-04-18,15.82,33.82
2024-04-17,15.73,33.46
2024-04-16,15.71,33.22
2024-04-15,15.74,33.82
2024-04-12,15.88,33.66
2024-04-11,15.615,33.45
2024-04-10,15.69,33.85
2024-04-09,15.73,33.86
2024-04-08,15.565,34.33
2024-04-05,15.40,34.14
2024-04-04,15.59,34.85
2024-04-03,15.555,34.87
2024-04-02,15.58,34.76
2024-03-28,15.51,34.815
2024-03-27,15.634,34.69
2024-03-26,15.514,34.60
2024-03-25,15.516,34.575
2024-03-22,15.43,34.48
2024-03-21,15.346,34.65
2024-03-20,15.434,34.595
2024-03-19,15.378,34.62
2024-03-18,15.324,34.235
2024-03-15,15.38,34.325
2024-03-14,15.29,34.005
2024-03-13,15.124,33.82
2024-03-12,15.156,33.96
2024-03-11,15.228,33.28
2024-03-08,15.248,33.52
2024-03-07,15.266,33.10
2024-03-06,15.174,32.73
2024-03-05,14.988,32.725
2024-03-04,14.672,32.62
2024-03-01,14.696,32.36
2024-02-29,14.836,32.88
2024-02-28,14.84,32.71
2024-02-27,14.684,32.385
2024-02-26,14.648,32.375
2024-02-23,14.84,32.30
2024-02-22,14.754,32.06
2024-02-21,14.53,31.175
2024-02-20,14.446,31.165
2024-02-19,14.32,31.01
2024-02-16,14.322,30.98
2024-02-15,14.472,30.78
2024-02-14,14.376,30.635
2024-02-13,14.318,30.635
2024-02-12,14.282,30.63
2024-02-09,14.10,29.99
2024-02-08,14.388,30.075
2024-02-07,14.482,30.44
2024-02-06,14.624,30.64
2024-02-05,14.71,30.41
2024-02-02,14.654,30.535
2024-02-01,14.69,30.50
2024-01-31,14.81,31.16
2024-01-30,14.80,31.135
2024-01-29,14.702,31.03
2024-01-26,14.658,30.92
2024-01-25,15.164,30.75
2024-01-24,15.268,30.94
2024-01-23,15.30,30.615
2024-01-22,15.626,30.715
2024-01-19,15.552,30.565
2024-01-18,15.562,29.965
2024-01-17,15.528,29.525
2024-01-16,15.758,29.61
2024-01-15,16.07,29.42
2024-01-12,16.194,29.42
2024-01-11,16.28,29.23
2024-01-10,16.502,29.535
2024-01-09,16.55,29.635
2024-01-08,16.414,29.91
2024-01-05,16.344,29.875
2024-01-04,16.182,29.915
2024-01-03,15.84,29.69
2024-01-02,15.95,29.72
2023-12-29,15.918,29.49
2023-12-28,15.96,29.43
2023-12-27,16.17,29.58
2023-12-22,16.16,29.64
2023-12-21,16.244,29.525
2023-12-20,16.22,29.375
2023-12-19,16.048,29.33
2023-12-18,16.086,29.11
2023-12-15,16.214,29.17
2023-12-14,16.27,29.255
2023-12-13,16.16,29.76
2023-12-12,15.99,30.07
2023-12-11,16.128,30.06
2023-12-08,16.234,29.995
2023-12-07,16.168,29.895
2023-12-06,16.088,29.665
2023-12-05,15.99,29.27
2023-12-04,16.046,29.045
2023-12-01,16.046,28.895
2023-11-30,15.918,28.595
2023-11-29,15.872,28.44
2023-11-28,15.918,28.48
2023-11-27,15.836,28.36
2023-11-24,15.754,28.455
2023-11-23,15.72,28.24
2023-11-22,15.586,28.24
2023-11-21,15.536,28.20
2023-11-20,15.608,28.335
2023-11-17,15.60,28.385
2023-11-16,15.518,27.975
2023-11-15,15.318,27.87
2023-11-14,15.354,28.115
2023-11-13,15.322,28.05
2023-11-10,15.298,27.725
2023-11-09,15.306,27.68
2023-11-08,15.136,27.715
2023-11-07,15.302,27.425
2023-11-06,15.14,27.83
2023-11-03,15.154,28.17
2023-11-02,15.156,28.52
2023-11-01,15.354,28.285
2023-10-31,15.004,27.955
2023-10-30,14.986,27.84
2023-10-27,14.922,27.455
2023-10-26,14.896,27.52
2023-10-25,14.854,27.59
2023-10-24,14.734,27.335
2023-10-23,14.502,27.245
2023-10-20,14.688,27.16
2023-10-19,14.874,27.875
2023-10-18,14.72,28.16
2023-10-17,14.892,28.275
2023-10-16,14.808,28.02
2023-10-13,14.776,28.01
2023-10-12,14.68,28.36
2023-10-11,14.732,28.56
2023-10-10,14.57,28.32
2023-10-09,14.278,27.875
2023-10-06,14.132,27.97
2023-10-05,14.14,27.32
2023-10-04,14.028,27.21
2023-10-03,14.002,27.305
2023-10-02,14.278,27.685
2023-09-29,14.53,28.18
2023-09-28,14.388,28.35
2023-09-27,14.51,28.295
2023-09-26,14.744,28.645
2023-09-25,14.842,28.62
2023-09-22,14.958,28.82
2023-09-21,14.944,29.145
2023-09-20,15.168,29.35
2023-09-19,15.288,29.305
2023-09-18,15.096,29.065
2023-09-15,15.198,29.39
2023-09-14,15.146,29.145
2023-09-13,14.898,28.58
2023-09-12,14.882,28.145
2023-09-11,14.888,27.955
2023-09-08,14.828,27.705
2023-09-07,14.656,27.53
2023-09-06,14.504,27.585
2023-09-05,14.58,27.835
2023-09-04,14.754,27.725
2023-09-01,14.82,27.85
2023-08-31,14.89,27.775
2023-08-30,14.888,27.87
2023-08-29,15.032,27.93
2023-08-28,14.836,27.71
2023-08-25,14.794,27.395
2023-08-24,14.686,27.395
2023-08-23,14.644,27.41
2023-08-22,14.696,27.33
2023-08-21,14.744,27.195
2023-08-18,14.588,27.175
2023-08-17,14.486,27.465
2023-08-16,14.504,27.41
2023-08-15,14.408,27.535
2023-08-14,14.546,27.955
2023-08-11,14.494,27.84
2023-08-10,14.636,28.165
2023-08-09,14.562,27.66
2023-08-08,14.434,27.325
2023-08-07,14.422,27.645
2023-08-04,14.438,27.455
2023-08-03,14.40,26.915
2023-08-02,14.636,27.365
2023-08-01,14.896,27.78
2023-07-31,14.912,27.97
2023-07-28,14.994,28.18
2023-07-27,15.314,28.07
2023-07-26,15.382,27.68
